# t_unix,market,bid,bid_size,ask,ask_size
1786861252.629,sol-updown-4h-1786852800-no,0.89,56,0.9,132
1786861253.497,xrp-updown-4h-1786852800,0.13,234,0.14,6
1786861253.712,xrp-updown-4h-1786852800-no,0.86,6,0.87,234
1786861254.007,bitcoin-up-or-down-august-16-2026-2am-et,0.4,185,0.41,71.12
1786861254.226,bitcoin-up-or-down-august-16-2026-2am-et-no,0.59,71.12,0.6,185
1786861255.013,btc-updown-4h-1786852800,0.18,426,0.19,11
1786861255.249,btc-updown-4h-1786852800-no,0.81,11,0.82,426
1786861255.789,eth-updown-4h-1786852800,0.08,170,0.11,6
1786861256.028,eth-updown-4h-1786852800-no,0.89,6,0.91,10
1786861256.232,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786861256.428,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786861256.648,sol-updown-4h-1786852800,0.1,132,0.11,56
1786861256.897,sol-updown-4h-1786852800-no,0.89,56,0.9,132
1786861257.807,xrp-updown-4h-1786852800,0.13,234,0.14,6
1786861258.081,xrp-updown-4h-1786852800-no,0.86,6,0.87,234
1786861258.314,bitcoin-up-or-down-august-16-2026-2am-et,0.4,183.33,0.41,386.12
1786861258.538,bitcoin-up-or-down-august-16-2026-2am-et-no,0.59,386.12,0.6,183.33
1786861260.131,btc-updown-4h-1786852800,0.18,419.9,0.19,11
1786861260.424,btc-updown-4h-1786852800-no,0.81,11,0.82,413.8
1786861260.671,eth-updown-4h-1786852800,0.09,10,0.11,6
1786861260.923,eth-updown-4h-1786852800-no,0.89,6,0.91,10
1786861261.212,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786861261.606,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786861261.800,sol-updown-4h-1786852800,0.1,132,0.11,56
1786861261.987,sol-updown-4h-1786852800-no,0.89,56,0.9,132
1786861262.715,xrp-updown-4h-1786852800,0.13,234,0.14,6
1786861262.976,xrp-updown-4h-1786852800-no,0.86,6,0.87,234
1786861263.236,bitcoin-up-or-down-august-16-2026-2am-et,0.4,183.33,0.41,315
1786861263.710,bitcoin-up-or-down-august-16-2026-2am-et-no,0.59,315,0.6,153.33
