# t_unix,market,bid,bid_size,ask,ask_size
1786858961.638,bitcoin-up-or-down-august-16-2026-1am-et-no,0.81,78,0.82,16
1786858961.820,btc-updown-4h-1786852800,0.23,264.85,0.25,433
1786858961.997,btc-updown-4h-1786852800-no,0.75,433,0.77,264.85
1786858962.172,ethereum-up-or-down-august-16-2026-1am-et,0.23,124.42,0.24,105
1786858962.351,ethereum-up-or-down-august-16-2026-1am-et-no,0.76,105,0.77,124.42
1786858962.545,eth-updown-4h-1786852800,0.26,11,0.27,492
1786858962.716,eth-updown-4h-1786852800-no,0.73,492,0.74,11
1786858962.883,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786858963.043,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786858963.208,sol-updown-4h-1786852800,0.16,200,0.17,56
1786858963.426,sol-updown-4h-1786852800-no,0.83,56,0.84,200
1786858963.600,btc-updown-15m-1786858200,0.73,48.23,0.74,12.93
1786858963.774,btc-updown-15m-1786858200-no,0.26,12.93,0.27,48.23
1786858963.951,solana-up-or-down-august-16-2026-1am-et,0.18,20,0.2,10
1786858964.113,solana-up-or-down-august-16-2026-1am-et-no,0.8,10,0.82,20
1786858964.295,xrp-up-or-down-august-16-2026-1am-et,0.27,27,0.29,10
1786858964.467,xrp-up-or-down-august-16-2026-1am-et-no,0.71,10,0.73,27
1786858964.632,xrp-updown-4h-1786852800,0.24,50,0.25,67
1786858964.795,xrp-updown-4h-1786852800-no,0.75,67,0.76,50
1786858964.981,btc-updown-5m-1786860300,0.49,79.9,0.5,30
1786858965.153,btc-updown-5m-1786860300-no,0.5,30,0.51,79.9
1786858965.327,bitcoin-up-or-down-august-16-2026-1am-et,0.18,16,0.19,78
1786858965.496,bitcoin-up-or-down-august-16-2026-1am-et-no,0.81,78,0.82,16
1786858965.665,btc-updown-4h-1786852800,0.23,264.85,0.25,433
1786858965.840,btc-updown-4h-1786852800-no,0.75,433,0.77,264.85
1786858966.019,ethereum-up-or-down-august-16-2026-1am-et,0.23,119.42,0.24,334
1786858966.193,ethereum-up-or-down-august-16-2026-1am-et-no,0.76,334,0.77,119.42
1786858966.368,eth-updown-4h-1786852800,0.26,11,0.27,492
1786858966.531,eth-updown-4h-1786852800-no,0.73,492,0.74,11
1786858966.696,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786858966.861,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786858967.027,sol-updown-4h-1786852800,0.16,200,0.17,56
1786858967.201,sol-updown-4h-1786852800-no,0.83,56,0.84,200
1786858967.369,btc-updown-15m-1786858200,0.73,42.84,0.74,0.94
1786858967.546,btc-updown-15m-1786858200-no,0.26,0.94,0.27,47.84
1786858967.717,solana-up-or-down-august-16-2026-1am-et,0.18,20,0.2,10
1786858967.877,solana-up-or-down-august-16-2026-1am-et-no,0.8,10,0.82,20
1786858968.039,xrp-up-or-down-august-16-2026-1am-et,0.27,27,0.29,10
1786858968.235,xrp-up-or-down-august-16-2026-1am-et-no,0.71,10,0.73,27
1786858968.408,xrp-updown-4h-1786852800,0.23,106,0.25,17
1786858968.582,xrp-updown-4h-1786852800-no,0.75,17,0.77,106
1786858968.788,btc-updown-5m-1786860300,0.49,79.9,0.5,30
1786858968.957,btc-updown-5m-1786860300-no,0.5,30,0.51,79.9
1786858969.127,bitcoin-up-or-down-august-16-2026-1am-et,0.18,16,0.19,203
1786858969.298,bitcoin-up-or-down-august-16-2026-1am-et-no,0.81,203,0.82,16
1786858969.464,btc-updown-4h-1786852800,0.23,264.85,0.25,433
1786858969.626,btc-updown-4h-1786852800-no,0.75,433,0.77,264.85
1786858969.790,ethereum-up-or-down-august-16-2026-1am-et,0.23,119.42,0.24,239
1786858969.986,ethereum-up-or-down-august-16-2026-1am-et-no,0.76,239,0.77,119.42
1786858970.150,eth-updown-4h-1786852800,0.26,11,0.27,442
1786858970.331,eth-updown-4h-1786852800-no,0.73,442,0.74,11
1786858970.492,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786858970.669,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786858970.902,sol-updown-4h-1786852800,0.16,200,0.17,56
1786858971.073,sol-updown-4h-1786852800-no,0.83,56,0.84,200
1786858971.241,btc-updown-15m-1786858200,0.73,52.84,0.75,17.1
1786858971.411,btc-updown-15m-1786858200-no,0.25,108,0.26,10
1786858971.574,solana-up-or-down-august-16-2026-1am-et,0.18,20,0.2,10
1786858971.747,solana-up-or-down-august-16-2026-1am-et-no,0.8,10,0.82,20
1786858971.905,xrp-up-or-down-august-16-2026-1am-et,0.27,27,0.29,10
1786858972.068,xrp-up-or-down-august-16-2026-1am-et-no,0.71,10,0.73,27
1786858972.240,xrp-updown-4h-1786852800,0.23,106,0.24,6
1786858972.406,xrp-updown-4h-1786852800-no,0.76,6,0.77,106
1786858972.576,btc-updown-5m-1786860300,0.49,79.9,0.5,30
1786858972.760,btc-updown-5m-1786860300-no,0.5,30,0.51,79.9
1786858972.939,bitcoin-up-or-down-august-16-2026-1am-et,0.18,16,0.19,239
1786858973.104,bitcoin-up-or-down-august-16-2026-1am-et-no,0.81,239,0.82,16
1786858973.272,btc-updown-4h-1786852800,0.23,264.85,0.25,433
1786858973.439,btc-updown-4h-1786852800-no,0.75,433,0.77,264.85
1786858973.611,ethereum-up-or-down-august-16-2026-1am-et,0.23,119.42,0.24,339
1786858973.772,ethereum-up-or-down-august-16-2026-1am-et-no,0.76,339,0.77,119.42
1786858973.954,eth-updown-4h-1786852800,0.26,11,0.27,492
1786858974.120,eth-updown-4h-1786852800-no,0.73,492,0.74,11
1786858974.293,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786858974.530,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786858974.693,sol-updown-4h-1786852800,0.16,200,0.17,56
1786858974.869,sol-updown-4h-1786852800-no,0.83,56,0.84,200
1786858975.039,btc-updown-15m-1786858200,0.74,6.75,0.75,10
1786858975.206,btc-updown-15m-1786858200-no,0.24,39.58,0.25,6.93
1786858975.383,solana-up-or-down-august-16-2026-1am-et,0.18,20,0.2,10
1786858975.575,solana-up-or-down-august-16-2026-1am-et-no,0.8,10,0.82,20
1786858975.743,xrp-up-or-down-august-16-2026-1am-et,0.27,20,0.29,10
1786858975.934,xrp-up-or-down-august-16-2026-1am-et-no,0.71,10,0.73,20
1786858976.112,xrp-updown-4h-1786852800,0.22,190,0.23,200
1786858976.295,xrp-updown-4h-1786852800-no,0.77,200,0.78,190
1786858976.495,btc-updown-5m-1786860300,0.49,79.9,0.5,30
1786858976.664,btc-updown-5m-1786860300-no,0.5,30,0.51,79.9
